Membership No  Date Joined  Active  
    44325      2015-12-10   yes   
    40335      2016-9-5     yes   
    75597      2018-10-16   yes   
    43636      2017-8-3     yes   
    88524      2016-1-5     yes   
    24059      2019-3-25    yes   
    48276      2017-3-5     yes   
    59843      2020-5-24    yes   
    62944      2019-2-25    yes   
    86475      2017-8-23    yes   
    93054      2017-3-1     yes   
    35546      2018-4-6     yes   
    59680      2016-10-22   yes   
    43299      2015-4-7     yes   
    60966      2015-12-2    yes   
